area_id,area_name,area_level,parent_area_id,area_sort_order,center_x,center_y,spectrum_region_code,county
KEN,Kenya,0,KEN,1,37.5514011033705,0.3720841,,Kenya
KEN_1_4,Central,1,KEN,2,36.9672659248447,-0.5890636,10.0,Central
KEN_1_1,Coast,1,KEN,3,39.7807395747234,-2.3354101,11.0,Coast
KEN_1_3,Eastern,1,KEN,4,38.4944688279238,0.69830825,12.0,Eastern
KEN_1_8,Nairobi,1,KEN,5,36.8289152653453,-1.2967167,13.0,Nairobi
KEN_1_2,North Eastern,1,KEN,6,40.1880023499647,1.1968903,14.0,North Eastern
KEN_1_7,Nyanza,1,KEN,7,34.4859739761021,-0.5350553,15.0,Nyanza
KEN_1_5,Rift Valley,1,KEN,8,36.3045920389305,1.12069275,16.0,Rift Valley
KEN_1_6,Western,1,KEN,9,34.4917462581119,0.5528228,17.0,Western
KEN_2_30,Baringo,2,KEN_1_5,10,36.0180061259004,0.72559185,16.0,Baringo
KEN_2_36,Bomet,2,KEN_1_5,11,35.2378546958184,-0.71480095,16.0,Bomet
KEN_2_39,Bungoma,2,KEN_1_6,12,34.7194197995385,0.7926639,17.0,Bungoma
KEN_2_40,Busia,2,KEN_1_6,13,34.2647043159859,0.37545235,17.0,Busia
KEN_2_28,Elgeyo-Marakwet,2,KEN_1_5,14,35.5595539484455,0.7428521,16.0,Elgeyo-Marakwet
KEN_2_14,Embu,2,KEN_1_3,15,37.6649348716532,-0.5327307,12.0,Embu
KEN_2_07,Garissa,2,KEN_1_2,16,40.3574672339898,-0.52640995,14.0,Garissa
KEN_2_43,Homa Bay,2,KEN_1_7,17,34.314372490413,-0.5634039,15.0,Homa Bay
KEN_2_11,Isiolo,2,KEN_1_3,18,38.7450221282652,1.01675805,12.0,Isiolo
KEN_2_34,Kajiado,2,KEN_1_5,19,36.7756482527778,-2.1114497,16.0,Kajiado
KEN_2_37,Kakamega,2,KEN_1_6,20,34.8007269988312,0.4976636,17.0,Kakamega
KEN_2_35,Kericho,2,KEN_1_5,21,35.2270714337277,-0.3143092,16.0,Kericho
KEN_2_22,Kiambu,2,KEN_1_4,22,36.8426601975231,-1.03406195,10.0,Kiambu
KEN_2_03,Kilifi,2,KEN_1_1,23,39.6761818535483,-3.14498645,11.0,Kilifi
KEN_2_20,Kirinyaga,2,KEN_1_4,24,37.3019452951131,-0.46862735,10.0,Kirinyaga
KEN_2_45,Kisii,2,KEN_1_7,25,34.7525218960444,-0.7360083,15.0,Kisii
KEN_2_42,Kisumu,2,KEN_1_7,26,34.7771229033817,-0.1960375,15.0,Kisumu
KEN_2_15,Kitui,2,KEN_1_3,27,38.372288754391,-1.56037045,12.0,Kitui
KEN_2_02,Kwale,2,KEN_1_1,28,39.053562338566,-4.12724735,11.0,Kwale
KEN_2_31,Laikipia,2,KEN_1_5,29,36.8253387445441,0.2894618,16.0,Laikipia
KEN_2_05,Lamu,2,KEN_1_1,30,40.5509254418858,-2.06430055,11.0,Lamu
KEN_2_16,Machakos,2,KEN_1_3,31,37.3949888024628,-1.2771322,12.0,Machakos
KEN_2_17,Makueni,2,KEN_1_3,32,37.8756496453423,-2.2522945,12.0,Makueni
KEN_2_09,Mandera,2,KEN_1_2,33,40.711987884253,3.2328138,14.0,Mandera
KEN_2_10,Marsabit,2,KEN_1_3,34,37.7160318217997,2.8573864,12.0,Marsabit
KEN_2_12,Meru,2,KEN_1_3,35,37.7764755484995,0.2312286,12.0,Meru
KEN_2_44,Migori,2,KEN_1_7,36,34.3088153745575,-1.0178039,15.0,Migori
KEN_2_01,Mombasa,2,KEN_1_1,37,39.7009087566525,-3.991539,11.0,Mombasa
KEN_2_21,Murang'a,2,KEN_1_4,38,37.0029849972397,-0.8237073,10.0,Murang'a
KEN_2_47,Nairobi (County),2,KEN_1_8,39,36.8289152653453,-1.2967167,13.0,Nairobi
KEN_2_32,Nakuru,2,KEN_1_5,40,36.1018400623558,-0.46100725,16.0,Nakuru
KEN_2_29,Nandi,2,KEN_1_5,41,35.1256925459141,0.2258455,16.0,Nandi
KEN_2_33,Narok,2,KEN_1_5,42,35.4774069166166,-1.27633885,16.0,Narok
KEN_2_46,Nyamira,2,KEN_1_7,43,34.9330019641283,-0.65231065,15.0,Nyamira
KEN_2_18,Nyandarua,2,KEN_1_4,44,36.4972642597126,-0.3894377,10.0,Nyandarua
KEN_2_19,Nyeri,2,KEN_1_4,45,36.9271194211228,-0.32417225,10.0,Nyeri
KEN_2_25,Samburu,2,KEN_1_5,46,36.9414111873327,1.54154935,16.0,Samburu
KEN_2_41,Siaya,2,KEN_1_7,47,34.196795100555,-0.06239335,15.0,Siaya
KEN_2_06,Taita-Taveta,2,KEN_1_1,48,38.3636638857178,-3.4191923,11.0,Taita-Taveta
KEN_2_04,Tana River,2,KEN_1_1,49,39.5504618339809,-1.5359914,11.0,Tana River
KEN_2_13,Tharaka-Nithi,2,KEN_1_3,50,37.9615313433329,-0.19084475,12.0,Tharaka-Nithi
KEN_2_26,Trans-Nzoia,2,KEN_1_5,51,34.9812165872079,1.04540215,16.0,Trans Nzoia
KEN_2_23,Turkana,2,KEN_1_5,52,35.3132663944582,3.1609046,16.0,Turkana
KEN_2_27,Uasin Gishu,2,KEN_1_5,53,35.3051107811357,0.48154485,16.0,Uasin Gishu
KEN_2_38,Vihiga,2,KEN_1_6,54,34.7065133450215,0.0796956,17.0,Vihiga
KEN_2_08,Wajir,2,KEN_1_2,55,40.0249329201824,1.93396165,14.0,Wajir
KEN_2_24,West Pokot,2,KEN_1_5,56,35.2139033899365,1.89025675,16.0,West Pokot
